5	1	4	875635748
49	1	2	888068651
17	1	4	885272579
43	1	5	875975579
20	1	3	879667963
38	1	5	892430636
18	1	5	880130802
45	1	5	881013176
41	1	4	890692860
15	1	1	879455635
23	1	5	874784615
10	1	4	877888877
42	1	5	881105633
26	1	3	891350625
44	1	4	878341315
2	1	4	888550871
13	1	3	882140487
1	1	5	874965758
16	1	5	877717833
6	1	4	883599478
25	1	5	885853415
21	1	5	874951244
5	2	3	875636053
13	2	3	882397650
1	2	3	876893171
30	2	3	875061066
22	2	2	878887925
42	2	5	881109271
49	2	1	888069606
49	3	3	888068877
43	3	2	884029543
1	3	4	878542960
19	4	4	885412840
10	4	4	877889130
13	4	5	882141306
18	4	3	880132150
16	4	5	877726390
12	4	5	879960826
7	4	5	891351772
22	4	5	878886571
1	4	3	876893119
49	4	2	888069512
43	4	4	875981421
43	5	4	875981421
44	5	4	878347598
13	5	1	882396869
21	5	2	874951761
1	5	3	889751712
28	5	3	881961600
1	6	5	887431973
9	6	5	886960055
18	6	5	880130764
10	7	4	877892210
49	7	4	888067307
28	7	5	881961531
26	7	3	891350826
43	7	4	875975520
14	7	5	876965061
7	7	5	891352220
8	7	3	879362287
15	7	1	879455506
46	7	4	883616155
30	7	4	875140648
16	7	5	877724066
23	7	4	874784385
13	7	2	882396790
21	7	5	874951292
44	7	5	878341246
6	7	2	883599102
17	7	4	885272487
45	7	3	881008080
32	7	4	883717766
1	7	4	875071561
37	7	4	880915528
9	7	4	886960030
24	7	4	875323676
25	7	4	885853155
16	8	5	877722736
7	8	5	891351328
25	8	4	885852150
24	8	5	875323002
1	8	1	875072484
23	8	4	874785474
43	8	4	875975717
49	8	3	888067691
19	8	5	885412723
11	8	4	891904949
18	8	5	880130802
6	8	4	883600657
13	8	4	882140001
17	9	3	885272558
26	9	4	891386369
44	9	5	878341196
11	9	5	891902970
50	9	4	877052297
15	9	4	879455635
14	9	4	879119260
16	9	5	877722736
24	9	5	875323745
1	9	5	878543541
18	9	5	880130550
43	9	4	875975656
32	9	3	883717747
27	9	4	891542942
7	9	5	891351432
6	9	4	883599205
21	9	5	874951188
13	9	3	882140205
10	9	4	877889005
49	10	3	888066086
7	10	4	891352864
1	10	3	875693118
2	10	2	888551853
20	11	2	879669401
44	11	3	878347915
37	11	4	880915838
49	11	3	888069458
43	11	5	875981365
13	11	1	882397146
28	11	4	881956144
16	11	5	877718755
24	11	5	875323100
10	11	4	877888677
4	11	4	892004520
1	11	2	875072262
8	11	3	879362233
7	11	3	891352451
11	11	2	891904271
28	12	4	881956853
18	12	5	880129991
42	12	4	881107502
1	12	5	878542960
11	12	2	891904194
14	12	5	890881216
13	12	5	881515011
16	12	5	877718168
6	12	4	883601053
43	12	5	883955048
24	12	5	875323711
29	12	5	882821989
7	12	5	892135346
10	12	5	877886911
49	12	4	888068057
17	13	3	885272654
14	13	4	880929778
2	13	4	888551922
25	13	4	885852381
23	13	4	874784497
10	13	3	877892050
18	13	5	880131497
26	13	3	891373086
15	13	1	879455940
49	13	3	888068816
45	13	5	881012356
13	13	5	882141617
6	13	2	883599400
1	13	5	875071805
43	14	2	883955745
6	14	5	883599249
13	14	4	884538727
18	14	5	880130431
14	14	3	879119311
1	14	5	874965706
23	14	4	874784440
15	14	4	879455659
2	14	4	888551853
26	14	3	891371505
44	15	4	878341343
26	15	4	891386369
43	15	5	875975546
12	15	5	879959670
6	15	3	883599302
45	15	4	881012184
14	15	4	879119390
42	15	4	881105633
15	15	4	879455939
11	15	5	891903067
50	15	2	877052438
16	15	5	877722001
21	15	4	874951188
18	15	4	880131054
1	15	5	875071608
20	15	4	879667937
10	16	4	877888877
1	16	5	878543541
5	17	4	875636198
1	17	3	875073198
49	17	2	888068651
43	17	3	883956417
21	17	4	874951695
13	17	1	882396954
22	17	4	878886682
15	18	1	879455681
14	18	3	879119260
1	18	4	887432020
6	19	4	883602965
18	19	3	880130582
2	19	3	888550871
23	19	4	874784466
1	19	5	875071515
14	19	5	880929651
1	20	4	887431883
15	20	3	879455541
13	21	3	882399040
45	21	3	881014193
44	21	2	878346789
6	21	3	883600152
5	21	3	875635327
1	21	1	878542772
22	21	4	878886750
8	22	5	879362183
7	22	5	891351121
14	22	3	890881521
10	22	5	877888812
16	22	5	877721071
37	22	5	880915810
11	22	4	891904241
38	22	5	892429347
1	22	4	875072404
6	22	3	883602048
13	22	4	882140487
18	22	5	880130640
44	22	4	878347942
20	22	5	879669339
6	23	4	883601365
14	23	5	890881216
1	23	4	875072895
13	23	5	882139937
7	23	3	891351383
18	23	4	880130065
25	23	4	885852529
10	23	5	877886911
5	24	4	879198229
37	24	4	880915674
1	24	3	875071713
13	24	1	882397741
26	24	3	891377540
44	24	3	878346575
11	24	3	891904016
22	24	5	878888026
45	24	3	881014550
45	25	4	881014015
15	25	3	879456204
25	25	5	885853415
26	25	3	891373727
18	25	3	880131591
13	25	1	882141686
42	25	3	881110670
24	25	4	875246258
43	25	5	875975656
5	25	3	875635318
44	25	2	878346431
2	25	4	888551648
49	25	2	888068791
11	25	3	891903836
7	25	3	891352451
1	25	4	875071805
14	25	2	876965165
18	26	4	880129731
43	26	5	883954901
1	26	3	875072442
1	27	2	876892946
16	27	2	877726390
13	27	3	882397833
37	27	4	880915942
7	27	4	891352692
7	28	5	891352341
41	28	4	890687353
23	28	3	874786793
6	28	2	883603013
42	28	5	881108187
30	28	4	885941321
12	28	5	879958969
48	28	2	879434653
16	28	5	877727122
38	28	4	892429399
43	28	4	875981452
28	28	4	881956853
11	28	5	891904241
